Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
IR_8518,0.95,4,20.3,0.64,21.339000000000002,FLIR E40bx
IR_8520,0.95,4,20.3,0.63,21.471999999999998,FLIR E40bx
IR_8522,0.95,4,20.3,0.62,21.17,FLIR E40bx
IR_8524,0.95,4,20.3,0.62,21.107,FLIR E40bx
IR_8526,0.95,4,20.4,0.61,21.41,FLIR E40bx
IR_8530,0.95,4,20.4,0.61,21.314,FLIR E40bx
IR_8532,0.95,4,20.4,0.6,21.375,FLIR E40bx
IR_8536,0.95,4,20.5,0.59,21.478,FLIR E40bx
IR_8538,0.95,4,20.5,0.6,21.805999999999997,FLIR E40bx
IR_8540,0.95,4,20.6,0.6,21.834,FLIR E40bx
IR_8542,0.95,4,20.6,0.6,22.011,FLIR E40bx
IR_8544,0.95,4,20.8,0.6,22.322,FLIR E40bx
IR_8546,0.95,4,20.9,0.6,22.801,FLIR E40bx
IR_8548,0.95,4,21.2,0.61,23.177,FLIR E40bx
IR_8550,0.95,4,21.5,0.61,23.636,FLIR E40bx
IR_8552,0.95,4,21.9,0.6,23.932,FLIR E40bx
IR_8554,0.95,4,22.2,0.59,24.585,FLIR E40bx
IR_8556,0.95,4,22.6,0.58,25.034000000000002,FLIR E40bx
IR_8558,0.95,4,23.1,0.58,25.881,FLIR E40bx
IR_8562,0.95,4,24.5,0.51,27.555,FLIR E40bx
IR_8564,0.95,4,25.3,0.48,28.171,FLIR E40bx
IR_8566,0.95,4,26.0,0.46,28.967,FLIR E40bx
IR_8568,0.95,4,26.9,0.42,29.191999999999997,FLIR E40bx
IR_8570,0.95,4,27.6,0.41,29.967,FLIR E40bx
IR_8574,0.95,4,29.3,0.37,31.203000000000003,FLIR E40bx
IR_8576,0.95,4,30.0,0.35,31.785999999999998,FLIR E40bx
IR_8578,0.95,4,30.6,0.35,32.529,FLIR E40bx
IR_8580,0.95,4,31.2,0.33,32.754,FLIR E40bx
IR_8582,0.95,4,31.5,0.33,33.069,FLIR E40bx
IR_8584,0.95,4,31.6,0.32,33.414,FLIR E40bx
IR_8586,0.95,4,31.8,0.32,33.384,FLIR E40bx
IR_8588,0.95,4,32.1,0.31,34.039,FLIR E40bx
IR_8590,0.95,4,32.3,0.31,34.168,FLIR E40bx
IR_8596,0.95,4,33.7,0.3,35.77,FLIR E40bx
IR_8598,0.95,4,34.5,0.28,36.455,FLIR E40bx
IR_8600,0.95,4,35.2,0.27,36.938,FLIR E40bx
IR_8602,0.95,4,35.5,0.27,37.162,FLIR E40bx
IR_8604,0.95,4,35.7,0.26,37.242,FLIR E40bx
IR_8606,0.95,4,35.8,0.26,37.295,FLIR E40bx
IR_8608,0.95,4,35.8,0.25,37.374,FLIR E40bx
IR_8610,0.95,4,36.2,0.25,37.946999999999996,FLIR E40bx
IR_8612,0.95,4,36.5,0.25,37.884,FLIR E40bx
IR_8614,0.95,4,36.7,0.25,38.171,FLIR E40bx
IR_8616,0.95,4,37.0,0.24,38.563,FLIR E40bx
IR_8622,0.95,4,37.7,0.24,39.586999999999996,FLIR E40bx
IR_8624,0.95,4,37.8,0.23,39.908,FLIR E40bx
IR_8626,0.95,4,38.0,0.23,40.056,FLIR E40bx
IR_8628,0.95,4,38.4,0.23,40.208,FLIR E40bx
IR_8630,0.95,4,38.5,0.23,40.492,FLIR E40bx
IR_8632,0.95,4,39.0,0.22,41.185,FLIR E40bx
IR_8634,0.95,4,39.5,0.22,42.018,FLIR E40bx
IR_8636,0.95,4,39.8,0.2,41.656000000000006,FLIR E40bx
IR_8638,0.95,4,39.6,0.2,42.073,FLIR E40bx
IR_8640,0.95,4,39.4,0.21,41.376999999999995,FLIR E40bx
IR_8642,0.95,4,39.4,0.2,41.953,FLIR E40bx
IR_8644,0.95,4,39.4,0.2,42.492,FLIR E40bx
IR_8646,0.95,4,39.7,0.2,42.806000000000004,FLIR E40bx
IR_8648,0.95,4,39.9,0.2,42.952,FLIR E40bx
IR_8650,0.95,4,40.1,0.2,43.446000000000005,FLIR E40bx
IR_8652,0.95,4,40.5,0.2,43.794,FLIR E40bx
IR_8654,0.95,4,40.7,0.19,43.782,FLIR E40bx
IR_8656,0.95,4,40.8,0.19,43.59,FLIR E40bx
IR_8658,0.95,4,41.0,0.19,43.037,FLIR E40bx
IR_8660,0.95,4,41.2,0.19,43.343,FLIR E40bx
IR_8662,0.95,4,41.6,0.19,44.288999999999994,FLIR E40bx
IR_8664,0.95,4,42.2,0.18,44.816,FLIR E40bx
IR_8666,0.95,4,42.8,0.18,44.239,FLIR E40bx
IR_8668,0.95,4,42.7,0.17,43.346000000000004,FLIR E40bx
IR_8670,0.95,4,42.5,0.17,43.192,FLIR E40bx
IR_8674,0.95,4,42.3,0.17,43.00899999999999,FLIR E40bx
IR_8676,0.95,4,42.0,0.16,41.847,FLIR E40bx
IR_8680,0.95,4,42.4,0.17,45.882,FLIR E40bx
IR_8682,0.95,4,43.3,0.16,44.158,FLIR E40bx
IR_8684,0.95,4,43.3,0.13,43.13399999999999,FLIR E40bx
IR_8686,0.95,4,42.8,0.14,42.891000000000005,FLIR E40bx
IR_8688,0.95,4,42.7,0.13,42.232,FLIR E40bx
IR_8690,0.95,4,42.4,0.14,42.13,FLIR E40bx
IR_8692,0.95,4,42.3,0.17,43.093999999999994,FLIR E40bx
IR_8694,0.95,4,42.3,0.17,42.619,FLIR E40bx
IR_8696,0.95,4,42.3,0.19,42.38,FLIR E40bx
IR_8698,0.95,4,42.2,0.2,42.003,FLIR E40bx
IR_8700,0.95,4,42.0,0.21,41.626000000000005,FLIR E40bx
IR_8702,0.95,4,41.7,0.21,40.919000000000004,FLIR E40bx
IR_8704,0.95,4,41.1,0.22,40.385999999999996,FLIR E40bx
IR_8706,0.95,4,40.7,0.22,40.353,FLIR E40bx
IR_8708,0.95,4,40.3,0.23,40.615,FLIR E40bx
IR_8710,0.95,4,40.3,0.23,40.164,FLIR E40bx
IR_8712,0.95,4,40.0,0.22,39.67,FLIR E40bx
IR_8714,0.95,4,39.8,0.22,39.566,FLIR E40bx
IR_8716,0.95,4,39.5,0.22,39.635,FLIR E40bx
IR_8718,0.95,4,39.3,0.21,39.135,FLIR E40bx
IR_8720,0.95,4,39.2,0.21,39.144,FLIR E40bx
IR_8722,0.95,4,39.0,0.21,38.703,FLIR E40bx
IR_8724,0.95,4,38.7,0.22,38.104,FLIR E40bx
IR_8728,0.95,4,37.5,0.21,37.194,FLIR E40bx
IR_8730,0.95,4,36.8,0.21,36.667,FLIR E40bx
IR_8732,0.95,4,36.2,0.23,36.202,FLIR E40bx
IR_8734,0.95,4,35.8,0.23,36.003,FLIR E40bx
IR_8736,0.95,4,35.5,0.23,35.888000000000005,FLIR E40bx
IR_8738,0.95,4,35.2,0.23,35.375,FLIR E40bx
IR_8740,0.95,4,34.8,0.23,35.256,FLIR E40bx
IR_8742,0.95,4,34.7,0.24,35.873000000000005,FLIR E40bx
IR_8744,0.95,4,34.9,0.23,36.265,FLIR E40bx
IR_8746,0.95,4,35.0,0.21,35.749,FLIR E40bx
IR_8748,0.95,4,35.2,0.21,35.989000000000004,FLIR E40bx
IR_8750,0.95,4,35.3,0.22,35.855,FLIR E40bx
IR_8754,0.95,4,34.8,0.22,35.042,FLIR E40bx
IR_8756,0.95,4,34.5,0.24,34.889,FLIR E40bx
IR_8758,0.95,4,34.3,0.25,35.041,FLIR E40bx
IR_8760,0.95,4,34.2,0.26,34.926,FLIR E40bx
IR_8762,0.95,4,34.2,0.25,34.785,FLIR E40bx
