 ,Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
60,IR_8352,0.950,4,26.300,0.640,27.812,FLIR E40bx
61,IR_8354,0.950,4,26.200,0.650,27.495,FLIR E40bx
62,IR_8356,0.950,4,26.100,0.650,27.552,FLIR E40bx
63,IR_8358,0.950,4,26.100,0.650,27.372,FLIR E40bx
64,IR_8360,0.950,4,26.000,0.650,27.262,FLIR E40bx
65,IR_8362,0.950,4,26.000,0.650,27.136,FLIR E40bx
66,IR_8364,0.950,4,25.900,0.660,26.976,FLIR E40bx
67,IR_8366,0.950,4,25.900,0.660,26.861,FLIR E40bx
68,IR_8368,0.950,4,25.800,0.660,26.804,FLIR E40bx
69,IR_8370,0.950,4,25.700,0.660,26.768,FLIR E40bx
70,IR_8372,0.950,4,25.600,0.660,26.824,FLIR E40bx
71,IR_8374,0.950,4,25.700,0.650,26.482,FLIR E40bx
72,IR_8376,0.950,4,25.600,0.660,26.555,FLIR E40bx
73,IR_8378,0.950,4,25.600,0.660,26.423,FLIR E40bx
74,IR_8380,0.950,4,25.500,0.660,26.260,FLIR E40bx
75,IR_8382,0.950,4,25.500,0.660,26.051,FLIR E40bx
76,IR_8386,0.950,4,25.200,0.660,25.635,FLIR E40bx
77,IR_8388,0.950,4,25.000,0.660,25.736,FLIR E40bx
78,IR_8390,0.950,4,24.900,0.660,25.652,FLIR E40bx
79,IR_8392,0.950,4,24.800,0.670,25.383,FLIR E40bx
80,IR_8394,0.950,4,24.700,0.660,24.989,FLIR E40bx
81,IR_8396,0.950,4,24.500,0.670,25.085,FLIR E40bx
82,IR_8398,0.950,4,24.400,0.670,24.988,FLIR E40bx
83,IR_8402,0.950,4,24.100,0.690,24.909,FLIR E40bx
84,IR_8404,0.950,4,24.000,0.680,24.589,FLIR E40bx
85,IR_8406,0.950,4,23.900,0.680,24.554,FLIR E40bx
86,IR_8408,0.950,4,23.800,0.680,24.433,FLIR E40bx
87,IR_8410,0.950,4,23.600,0.680,24.506,FLIR E40bx
88,IR_8412,0.950,4,23.500,0.690,24.234,FLIR E40bx
89,IR_8414,0.950,4,23.400,0.690,24.186,FLIR E40bx
90,IR_8416,0.950,4,23.300,0.700,24.114,FLIR E40bx
91,IR_8418,0.950,4,23.200,0.690,23.931,FLIR E40bx
92,IR_8420,0.950,4,23.100,0.700,23.914,FLIR E40bx
93,IR_8422,0.950,4,23.000,0.700,23.864,FLIR E40bx
94,IR_8424,0.950,4,22.900,0.710,24.028,FLIR E40bx
95,IR_8426,0.950,4,22.800,0.700,23.704,FLIR E40bx
96,IR_8428,0.950,4,22.800,0.690,23.559,FLIR E40bx
97,IR_8434,0.950,4,22.500,0.700,23.239,FLIR E40bx
98,IR_8436,0.950,4,22.400,0.700,23.214,FLIR E40bx
99,IR_8438,0.950,4,22.400,0.700,22.894,FLIR E40bx
100,IR_8440,0.950,4,22.300,0.700,22.952,FLIR E40bx
101,IR_8442,0.950,4,22.200,0.700,22.999,FLIR E40bx
102,IR_8444,0.950,4,22.100,0.700,22.763,FLIR E40bx
103,IR_8446,0.950,4,22.000,0.700,22.627,FLIR E40bx
104,IR_8448,0.950,4,21.700,0.700,22.525,FLIR E40bx
105,IR_8450,0.950,4,21.400,0.700,22.198,FLIR E40bx
106,IR_8452,0.950,4,21.200,0.720,22.301,FLIR E40bx
107,IR_8454,0.950,4,21.000,0.720,21.999,FLIR E40bx
108,IR_8456,0.950,4,20.900,0.730,21.988,FLIR E40bx
109,IR_8458,0.950,4,20.800,0.740,22.125,FLIR E40bx
110,IR_8460,0.950,4,20.800,0.730,21.839,FLIR E40bx
111,IR_8462,0.950,4,20.700,0.720,21.879,FLIR E40bx
112,IR_8464,0.950,4,20.700,0.730,21.869,FLIR E40bx
113,IR_8466,0.950,4,20.700,0.720,21.696,FLIR E40bx
114,IR_8468,0.950,4,20.700,0.730,21.997,FLIR E40bx
115,IR_8472,0.950,4,20.700,0.760,21.944,FLIR E40bx
116,IR_8474,0.950,4,20.700,0.760,21.948,FLIR E40bx
117,IR_8476,0.950,4,20.800,0.760,21.916,FLIR E40bx
118,IR_8478,0.950,4,20.800,0.760,21.721,FLIR E40bx
119,IR_8480,0.950,4,20.800,0.760,21.543,FLIR E40bx
120,IR_8482,0.950,4,20.700,0.760,21.786,FLIR E40bx
121,IR_8484,0.950,4,20.700,0.760,21.717,FLIR E40bx
122,IR_8486,0.950,4,20.700,0.780,21.831,FLIR E40bx
123,IR_8488,0.950,4,20.600,0.770,21.631,FLIR E40bx
124,IR_8490,0.950,4,20.600,0.770,21.729,FLIR E40bx
125,IR_8492,0.950,4,20.500,0.760,21.539,FLIR E40bx
126,IR_8494,0.950,4,20.500,0.740,21.511,FLIR E40bx
127,IR_8496,0.950,4,20.400,0.710,21.317,FLIR E40bx
128,IR_8500,0.950,4,20.300,0.700,21.515,FLIR E40bx
129,IR_8502,0.950,4,20.300,0.690,21.357,FLIR E40bx
130,IR_8504,0.950,4,20.300,0.690,21.422,FLIR E40bx
131,IR_8506,0.950,4,20.300,0.680,21.498,FLIR E40bx
132,IR_8508,0.950,4,20.300,0.680,21.171,FLIR E40bx
133,IR_8510,0.950,4,20.300,0.670,21.082,FLIR E40bx
134,IR_8512,0.950,4,20.300,0.660,21.268,FLIR E40bx
135,IR_8514,0.950,4,20.300,0.650,21.235,FLIR E40bx
136,IR_8516,0.950,4,20.300,0.650,21.373,FLIR E40bx
137,IR_8518,0.950,4,20.300,0.640,21.339,FLIR E40bx
138,IR_8520,0.950,4,20.300,0.630,21.472,FLIR E40bx
139,IR_8522,0.950,4,20.300,0.620,21.170,FLIR E40bx
140,IR_8524,0.950,4,20.300,0.620,21.107,FLIR E40bx
141,IR_8526,0.950,4,20.400,0.610,21.410,FLIR E40bx
142,IR_8530,0.950,4,20.400,0.610,21.314,FLIR E40bx
143,IR_8532,0.950,4,20.400,0.600,21.375,FLIR E40bx
144,IR_8536,0.950,4,20.500,0.590,21.478,FLIR E40bx
145,IR_8538,0.950,4,20.500,0.600,21.806,FLIR E40bx
146,IR_8540,0.950,4,20.600,0.600,21.834,FLIR E40bx
147,IR_8542,0.950,4,20.600,0.600,22.011,FLIR E40bx
148,IR_8544,0.950,4,20.800,0.600,22.322,FLIR E40bx
149,IR_8546,0.950,4,20.900,0.600,22.801,FLIR E40bx
150,IR_8548,0.950,4,21.200,0.610,23.177,FLIR E40bx
151,IR_8550,0.950,4,21.500,0.610,23.636,FLIR E40bx
152,IR_8552,0.950,4,21.900,0.600,23.932,FLIR E40bx
153,IR_8554,0.950,4,22.200,0.590,24.585,FLIR E40bx
154,IR_8556,0.950,4,22.600,0.580,25.034,FLIR E40bx
155,IR_8558,0.950,4,23.100,0.580,25.881,FLIR E40bx
156,IR_8562,0.950,4,24.500,0.510,27.555,FLIR E40bx
157,IR_8564,0.950,4,25.300,0.480,28.171,FLIR E40bx
158,IR_8566,0.950,4,26.000,0.460,28.967,FLIR E40bx
159,IR_8568,0.950,4,26.900,0.420,29.192,FLIR E40bx
160,IR_8570,0.950,4,27.600,0.410,29.967,FLIR E40bx
161,IR_8574,0.950,4,29.300,0.370,31.203,FLIR E40bx
162,IR_8576,0.950,4,30.000,0.350,31.786,FLIR E40bx
163,IR_8578,0.950,4,30.600,0.350,32.529,FLIR E40bx
164,IR_8580,0.950,4,31.200,0.330,32.754,FLIR E40bx
165,IR_8582,0.950,4,31.500,0.330,33.069,FLIR E40bx
166,IR_8584,0.950,4,31.600,0.320,33.414,FLIR E40bx
167,IR_8586,0.950,4,31.800,0.320,33.384,FLIR E40bx
168,IR_8588,0.950,4,32.100,0.310,34.039,FLIR E40bx
169,IR_8590,0.950,4,32.300,0.310,34.168,FLIR E40bx
170,IR_8596,0.950,4,33.700,0.300,35.770,FLIR E40bx
171,IR_8598,0.950,4,34.500,0.280,36.455,FLIR E40bx
172,IR_8600,0.950,4,35.200,0.270,36.938,FLIR E40bx
173,IR_8602,0.950,4,35.500,0.270,37.162,FLIR E40bx
174,IR_8604,0.950,4,35.700,0.260,37.242,FLIR E40bx
175,IR_8606,0.950,4,35.800,0.260,37.295,FLIR E40bx
176,IR_8608,0.950,4,35.800,0.250,37.374,FLIR E40bx
177,IR_8610,0.950,4,36.200,0.250,37.947,FLIR E40bx
178,IR_8612,0.950,4,36.500,0.250,37.884,FLIR E40bx
179,IR_8614,0.950,4,36.700,0.250,38.171,FLIR E40bx
180,IR_8616,0.950,4,37.000,0.240,38.563,FLIR E40bx
181,IR_8622,0.950,4,37.700,0.240,39.587,FLIR E40bx
182,IR_8624,0.950,4,37.800,0.230,39.908,FLIR E40bx
183,IR_8626,0.950,4,38.000,0.230,40.056,FLIR E40bx
184,IR_8628,0.950,4,38.400,0.230,40.208,FLIR E40bx
185,IR_8630,0.950,4,38.500,0.230,40.492,FLIR E40bx
186,IR_8632,0.950,4,39.000,0.220,41.185,FLIR E40bx
187,IR_8634,0.950,4,39.500,0.220,42.018,FLIR E40bx
188,IR_8636,0.950,4,39.800,0.200,41.656,FLIR E40bx
189,IR_8638,0.950,4,39.600,0.200,42.073,FLIR E40bx
190,IR_8640,0.950,4,39.400,0.210,41.377,FLIR E40bx
191,IR_8642,0.950,4,39.400,0.200,41.953,FLIR E40bx
192,IR_8644,0.950,4,39.400,0.200,42.492,FLIR E40bx
193,IR_8646,0.950,4,39.700,0.200,42.806,FLIR E40bx
194,IR_8648,0.950,4,39.900,0.200,42.952,FLIR E40bx
195,IR_8650,0.950,4,40.100,0.200,43.446,FLIR E40bx
196,IR_8652,0.950,4,40.500,0.200,43.794,FLIR E40bx
197,IR_8654,0.950,4,40.700,0.190,43.782,FLIR E40bx
198,IR_8656,0.950,4,40.800,0.190,43.590,FLIR E40bx
199,IR_8658,0.950,4,41.000,0.190,43.037,FLIR E40bx
200,IR_8660,0.950,4,41.200,0.190,43.343,FLIR E40bx
201,IR_8662,0.950,4,41.600,0.190,44.289,FLIR E40bx
202,IR_8664,0.950,4,42.200,0.180,44.816,FLIR E40bx
203,IR_8666,0.950,4,42.800,0.180,44.239,FLIR E40bx
204,IR_8668,0.950,4,42.700,0.170,43.346,FLIR E40bx
205,IR_8670,0.950,4,42.500,0.170,43.192,FLIR E40bx
206,IR_8674,0.950,4,42.300,0.170,43.009,FLIR E40bx
207,IR_8676,0.950,4,42.000,0.160,41.847,FLIR E40bx
208,IR_8680,0.950,4,42.400,0.170,45.882,FLIR E40bx
209,IR_8682,0.950,4,43.300,0.160,44.158,FLIR E40bx
210,IR_8684,0.950,4,43.300,0.130,43.134,FLIR E40bx
211,IR_8686,0.950,4,42.800,0.140,42.891,FLIR E40bx
212,IR_8688,0.950,4,42.700,0.130,42.232,FLIR E40bx
213,IR_8690,0.950,4,42.400,0.140,42.130,FLIR E40bx
214,IR_8692,0.950,4,42.300,0.170,43.094,FLIR E40bx
215,IR_8694,0.950,4,42.300,0.170,42.619,FLIR E40bx
216,IR_8696,0.950,4,42.300,0.190,42.380,FLIR E40bx
217,IR_8698,0.950,4,42.200,0.200,42.003,FLIR E40bx
218,IR_8700,0.950,4,42.000,0.210,41.626,FLIR E40bx
219,IR_8702,0.950,4,41.700,0.210,40.919,FLIR E40bx
220,IR_8704,0.950,4,41.100,0.220,40.386,FLIR E40bx
221,IR_8706,0.950,4,40.700,0.220,40.353,FLIR E40bx
222,IR_8708,0.950,4,40.300,0.230,40.615,FLIR E40bx
